Area, Latitude, Longitude
București,44.43278,26.10389
Voluntari,44.48944,26.17944
Buftea,44.57,25.95
Pantelimon,44.45,26.2
Popeşti–Leordeni,44.38,26.17
Chitila,44.51722,25.97528
Jilava,44.33361,26.08333
Otopeni,44.55,26.07
Cernica,44.42528,26.27556
Bragadiru,44.3725,25.96944
Chiajna,44.46,25.975
Periş,44.68333,26.01667
Glina,44.38333,26.25
Gruiu,44.72389,26.22194
Afumați,44.525,26.25222
Domneşti,44.39944,25.91667
Snagov,44.70917,26.17167
Mogoşoaia,44.53333,260
Cornetu,44.35,25.95
